Artigo; Tema; Citação; Link

Análise de Ocorrências de Incêndios Florestais na área do Parque Estadual do Cocó, Região Metropolitana de Fortaleza, CE;Incêndios Florestais;A identificação dos fatores de risco e, principalmente, das áreas mais vulneráveis é essencial tanto na questão preventiva, como também para rápidas respostas dos órgãos competentes; https://www.scielo.br/j/rbmet/a/43gxJSZsT3wCdCpfZzBThJS/?lang=pt
Monitor do Fogo;Incêndios Florestais;;https://plataforma.brasil.mapbiomas.org/monitor-do-fogo
Forest 4.0: Digitalization of forest using the Internet of Things (IoT);IoT;;https://reader.elsevier.com/reader/sd/pii/S1319157821000483?token=20FFDCBD4A95D2AE111EB8922D25A836258314EF043327783F4FDF8CD673F21ED9CFF832CD6B9DB515D59153522E7089&originRegion=us-east-1&originCreation=20230410021513
DETECÇÃO DE INCÊNDIOS FLORESTAIS POR SATÉLITES;Incêndios Florestais;;https://queimadas.dgi.inpe.br/~rqueimadas/material3os/2004_Batista_Deteccao_Floresta_DE3os.pdf
Levantamento indica “perda sem precedentes” de árvores por incêndios florestais nos últimos 20 anos;Incêndios Florestais;A situação também preocupa no Brasil. Desde 2001, de acordo com o GFW, 9,5 milhões de hectares foram queimados, o equivalente a 15% do total mundial. Dois terços dessas perdas ocorreram em florestas primárias, que são reservas importantes de carbono e biodiversidade. ;https://climainfo.org.br/2022/08/19/levantamento-indica-perda-sem-precedentes-de-arvores-por-incendios-florestais-nos-ultimos-20-anos/
Novo relatório do IPCC sobre aquecimento de 1,5°C pede mais esforços para ação climática;Incêndios Florestais;O WWF pede que os governos intensifiquem e aumentem a ambição em seus próprios compromissos climáticos nacionais até 2020, consistente com a limitação do aquecimento global para abaixo de 1,5°C.;https://www.wwf.org.br/?67822/Relatrio-do-IPCC-2018-sobre-aquecimento-global-de-15C-incita-mais-esforos-para-ao-climtica-global
Influência dos Elementos Meteorológicos Sobre o Comportamento do Fogo;Incêndios Florestais;Um dos fatores para esta situação seria que no caso do fogo, o pesquisador tem pouco, ou nenhum, controle sobre sua gravidade e/ou intensidade. Florestas ou locais queimados com diferentes graus de gravidade não podem ser considerados como verdadeiras repetições, uma vez que de fato foram aplicadas "doses" diferentes do "tratamento";https://www.scielo.br/j/rbmet/a/RLWTSJVpgqRcrjshQCxksdb/?lang=pt
Influência dos Elementos Meteorológicos Sobre o Comportamento do Fogo;Incêndios Florestais;De forma geral, observou-se que o conteúdo de umidade é a mais importante propriedade que controla a infla­mabilidade dos combustíveis.;https://www.scielo.br/j/rbmet/a/RLWTSJVpgqRcrjshQCxksdb/?lang=pt
Influência dos Elementos Meteorológicos Sobre o Comportamento do Fogo;Incêndios Florestais;A comparação entre os resultados aqui obtidos com os de outros estudos mostram que as potenciais diferenças no comportamento do fogo, entre regiões diferentes.;https://www.scielo.br/j/rbmet/a/RLWTSJVpgqRcrjshQCxksdb/?lang=pt
INCÊNDIOS FLORESTAIS ATENDIDOS PELA KLABIN DO PARANÁ NO PERÍODO DE 1965 A 2009;Incêndios Florestais;De acordo com Soares (2009), para o estabelecimento de uma política adequada de prevenção de incêndios é necessário conhecer as estatísticas referentes aos mesmos. A falta dessas informações pode levar a um dos seguintes extremos: gastos acima do potencial de danos ou gastos pequenos, colocando em risco a sobrevivência da floresta, bem como de todo ecossistema associado.;https://www.scielo.br/j/cerne/a/59xb4tgVNbqNSQLY4rcGB9S/?lang=pt
Fire Spread Monitoring System of A Forest Based On Interpolation and Cloud Computing;IoT;;https://ieeexplore.ieee.org/document/9888683
Simulation of forest fire spread based on artificial intelligence;IoT;;https://reader.elsevier.com/reader/sd/pii/S1470160X22001248?token=57E319A4361961B446ADB1BA47FD9955A95B9EE8E47662E0A9B83D7EB21B691AFF0B5CB8591D0B5AC0B3EBE312A644EB&originRegion=us-east-1&originCreation=20230410031554
