,fire_data,qty_sensor,detected_sensors
0,1,01,[]
1,2,01,[1]
2,3,01,[1]
3,4,01,[1]
4,5,01,[1]
5,6,01,[1]
6,7,01,[1]
7,8,01,[1]
8,9,01,[1]
9,10,01,[1]
10,11,01,[1]
11,12,01,[1]
12,13,01,[1]
13,14,01,[1]
14,15,01,[1]
15,16,01,[1]
16,17,01,[1]
17,18,01,[1]
18,19,01,[1]
19,1,04,[1]
20,2,04,"[1, 2, 3, 4]"
21,3,04,"[1, 2, 3, 4]"
22,4,04,"[1, 2, 3, 4]"
23,5,04,"[1, 2, 3, 4]"
24,6,04,"[1, 2, 3, 4]"
25,7,04,"[1, 2, 3, 4]"
26,8,04,"[2, 3, 1]"
27,9,04,"[1, 2, 3, 4]"
28,10,04,"[1, 2, 3, 4]"
29,11,04,"[1, 4, 2]"
30,12,04,"[1, 2, 3, 4]"
31,13,04,"[1, 2]"
32,14,04,"[1, 2, 3, 4]"
33,15,04,"[1, 2, 3, 4]"
34,16,04,"[1, 2, 3, 4]"
35,17,04,"[1, 3]"
36,18,04,"[1, 2, 3]"
37,19,04,"[2, 3, 4]"
38,1,09,"[1, 4]"
39,2,09,"[1, 2, 3, 4, 5, 8]"
40,3,09,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
41,4,09,"[1, 2, 3, 4, 5, 6, 8, 9, 7]"
42,5,09,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
43,6,09,"[1, 2, 3, 4, 5, 6, 7, 8]"
44,7,09,"[1, 2, 4, 5, 7, 8, 9]"
45,8,09,"[2, 3, 4, 5, 7, 8]"
46,9,09,"[1, 2, 3, 5, 6, 7, 8, 9]"
47,10,09,"[1, 2, 3, 4, 5, 6, 8, 9]"
48,11,09,"[1, 2, 3, 5, 6, 8, 9]"
49,12,09,"[2, 3, 5, 6, 8, 9]"
50,13,09,"[1, 2, 3, 6, 5]"
51,14,09,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
52,15,09,"[2, 3, 4, 5, 6, 7, 8, 9]"
53,16,09,"[2, 3, 4, 5, 6, 7, 8, 9]"
54,17,09,"[1, 4, 5, 7, 8]"
55,18,09,"[1, 2, 3, 4, 5, 6, 7, 8]"
56,19,09,"[2, 4, 5, 6, 7, 8, 9]"
57,1,16,"[1, 2, 5, 9]"
58,2,16,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 15, 2]"
59,3,16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 13]"
60,4,16,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 13]"
61,5,16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
62,6,16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
63,7,16,"[1, 2, 3, 5, 6, 7, 9, 10, 11, 13, 14, 15, 16, 12]"
64,8,16,"[2, 3, 4, 6, 7, 8, 9, 10, 13, 14]"
