,fire_data,qty_sensor,burned_areas,detected_sensors,VP,VN,FP,FN,Acc,Precisão,Recall
0,1,1,[1],[],0,0,0,0,0.0,,
1,2,1,[1],[1],1,0,0,0,1.0,1.0,1.0
2,3,1,[1],[1],1,0,0,0,1.0,1.0,1.0
3,4,1,[1],[1],1,0,0,0,1.0,1.0,1.0
4,5,1,[1],[1],1,0,0,0,1.0,1.0,1.0
5,6,1,[1],[1],1,0,0,0,1.0,1.0,1.0
6,7,1,[1],[1],1,0,0,0,1.0,1.0,1.0
7,8,1,[1],[1],1,0,0,0,1.0,1.0,1.0
8,9,1,[1],[1],1,0,0,0,1.0,1.0,1.0
9,10,1,[1],[1],1,0,0,0,1.0,1.0,1.0
10,11,1,[1],[1],1,0,0,0,1.0,1.0,1.0
11,12,1,[1],[1],1,0,0,0,1.0,1.0,1.0
12,13,1,[1],[1],1,0,0,0,1.0,1.0,1.0
13,14,1,[1],[1],1,0,0,0,1.0,1.0,1.0
14,15,1,[1],[1],1,0,0,0,1.0,1.0,1.0
15,16,1,[1],[1],1,0,0,0,1.0,1.0,1.0
16,17,1,[1],[1],1,0,0,0,1.0,1.0,1.0
17,18,1,[1],[1],1,0,0,0,1.0,1.0,1.0
18,19,1,[1],[1],1,0,0,0,1.0,1.0,1.0
19,1,4,"[1, 3]",[1],1,1,0,1,0.5,1.0,0.5
20,2,4,"[1, 2, 3, 4]","[1, 2, 3, 4]",4,0,0,0,1.0,1.0,1.0
21,3,4,"[1, 2, 3, 4]","[1, 2, 3, 4]",4,0,0,0,1.0,1.0,1.0
22,4,4,"[1, 2, 3, 4]","[1, 2, 3, 4]",4,0,0,0,1.0,1.0,1.0
23,5,4,"[1, 2, 3, 4]","[1, 2, 3, 4]",4,0,0,0,1.0,1.0,1.0
24,6,4,"[1, 2, 3, 4]","[1, 2, 3, 4]",4,0,0,0,1.0,1.0,1.0
25,7,4,"[1, 2, 3, 4]","[1, 2, 3, 4]",4,0,0,0,1.0,1.0,1.0
26,8,4,"[1, 2, 3, 4]","[2, 3, 1]",3,0,0,0,0.75,1.0,1.0
27,9,4,"[1, 2, 3, 4]","[1, 2, 3, 4]",4,0,0,0,1.0,1.0,1.0
28,10,4,"[1, 2, 3, 4]","[1, 2, 3, 4]",4,0,0,0,1.0,1.0,1.0
29,11,4,"[1, 2, 3, 4]","[1, 4, 2]",3,1,0,0,1.0,1.0,1.0
30,12,4,"[1, 2, 3, 4]","[1, 2, 3, 4]",4,0,0,0,1.0,1.0,1.0
31,13,4,"[1, 2, 4]","[1, 2]",2,0,0,1,0.5,1.0,0.6666666666666666
32,14,4,"[1, 2, 3, 4]","[1, 2, 3, 4]",4,0,0,0,1.0,1.0,1.0
33,15,4,"[1, 2, 3, 4]","[1, 2, 3, 4]",4,0,0,0,1.0,1.0,1.0
34,16,4,"[1, 2, 3, 4]","[1, 2, 3, 4]",4,0,0,0,1.0,1.0,1.0
35,17,4,"[1, 2, 3, 4]","[1, 3]",2,1,0,0,0.75,1.0,1.0
36,18,4,"[1, 2, 3, 4]","[1, 2, 3]",3,0,0,0,0.75,1.0,1.0
37,19,4,"[1, 2, 3, 4]","[2, 3, 4]",3,1,0,0,1.0,1.0,1.0
38,1,9,"[1.0, 2.0, 4.0, 7.0]","[1, 4]",2,2,0,4,0.4444444444444444,1.0,0.3333333333333333
39,2,9,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","[1, 2, 3, 4, 5, 8]",6,2,0,0,0.8888888888888888,1.0,1.0
40,3,9,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","[1, 2, 3, 4, 5, 6, 7, 8, 9]",9,0,0,0,1.0,1.0,1.0
41,4,9,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","[1, 2, 3, 4, 5, 6, 8, 9, 7]",9,0,0,0,1.0,1.0,1.0
42,5,9,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","[1, 2, 3, 4, 5, 6, 7, 8, 9]",9,0,0,0,1.0,1.0,1.0
43,6,9,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]","[1, 2, 3, 4, 5, 6, 7, 8]",8,0,0,0,0.8888888888888888,1.0,1.0
