,position,condition,step
0,"(62, 4)",1.0,1.0
1,"(62, 5)",1.0,1.0
2,"(63, 3)",1.0,1.0
3,"(64, 3)",1.0,1.0
4,"(61, 4)",1.0,2.0
5,"(61, 5)",1.0,2.0
6,"(63, 2)",1.0,2.0
7,"(64, 2)",1.0,2.0
8,"(65, 2)",1.0,2.0
9,"(65, 3)",1.0,2.0
10,"(60, 3)",1.0,3.0
11,"(60, 4)",1.0,3.0
12,"(60, 5)",1.0,3.0
13,"(61, 6)",1.0,3.0
14,"(62, 1)",1.0,3.0
15,"(66, 2)",1.0,3.0
16,"(59, 3)",1.0,4.0
17,"(59, 4)",1.0,4.0
18,"(59, 5)",1.0,4.0
19,"(59, 6)",1.0,4.0
20,"(61, 2)",1.0,4.0
21,"(62, 0)",1.0,4.0
22,"(67, 1)",1.0,4.0
23,"(58, 2)",1.0,5.0
24,"(58, 5)",1.0,5.0
25,"(58, 7)",1.0,5.0
26,"(60, 1)",1.0,5.0
27,"(60, 2)",1.0,5.0
28,"(60, 7)",1.0,5.0
29,"(68, 2)",1.0,5.0
30,"(57, 1)",1.0,6.0
31,"(57, 3)",1.0,6.0
32,"(57, 6)",1.0,6.0
33,"(57, 7)",1.0,6.0
34,"(57, 8)",1.0,6.0
35,"(59, 1)",1.0,6.0
36,"(60, 0)",1.0,6.0
37,"(67, 2)",1.0,6.0
38,"(67, 3)",1.0,6.0
39,"(56, 3)",1.0,7.0
40,"(56, 6)",1.0,7.0
41,"(56, 7)",1.0,7.0
42,"(56, 8)",1.0,7.0
43,"(57, 0)",1.0,7.0
44,"(58, 0)",1.0,7.0
45,"(59, 0)",1.0,7.0
46,"(68, 3)",1.0,7.0
47,"(55, 3)",1.0,8.0
48,"(55, 4)",1.0,8.0
49,"(55, 5)",1.0,8.0
50,"(55, 7)",1.0,8.0
51,"(69, 2)",1.0,8.0
52,"(55, 2)",1.0,9.0
53,"(55, 8)",1.0,9.0
54,"(69, 1)",1.0,9.0
55,"(54, 1)",1.0,10.0
56,"(54, 2)",1.0,10.0
57,"(55, 1)",1.0,10.0
58,"(70, 0)",1.0,10.0
59,"(70, 1)",1.0,10.0
60,"(70, 2)",1.0,10.0
61,"(53, 0)",1.0,11.0
62,"(53, 1)",1.0,11.0
63,"(53, 3)",1.0,11.0
