,position,condition,step
0,"(300, 300)",1,1
1,"(300, 300)",1,2
2,"(300, 300)",1,3
3,"(300, 300)",1,4
4,"(300, 300)",1,5
5,"(300, 300)",1,6
6,"(300, 300)",1,7
7,"(300, 300)",1,8
8,"(300, 300)",1,9
9,"(300, 300)",1,10
10,"(300, 300)",1,11
11,"(300, 300)",1,12
12,"(300, 300)",1,13
13,"(300, 300)",1,14
14,"(300, 300)",1,15
15,"(300, 300)",1,16
16,"(300, 300)",1,17
17,"(300, 300)",1,18
18,"(300, 300)",1,19
19,"(300, 300)",1,20
20,"(300, 300)",1,21
21,"(300, 300)",1,22
22,"(300, 300)",1,23
23,"(300, 300)",1,24
24,"(300, 300)",1,25
25,"(300, 300)",1,26
26,"(300, 300)",1,27
27,"(300, 300)",1,28
28,"(300, 300)",1,29
29,"(300, 300)",1,30
30,"(300, 300)",1,31
31,"(300, 300)",1,32
32,"(300, 300)",1,33
33,"(300, 300)",1,34
34,"(300, 300)",1,35
35,"(300, 300)",1,36
36,"(300, 300)",1,37
37,"(300, 300)",1,38
38,"(300, 300)",1,39
39,"(300, 300)",1,40
40,"(300, 300)",1,41
41,"(300, 300)",1,42
42,"(300, 300)",1,43
43,"(300, 300)",1,44
44,"(300, 300)",1,45
45,"(300, 300)",1,46
46,"(300, 300)",1,47
47,"(300, 300)",1,48
48,"(300, 300)",1,49
49,"(300, 300)",1,50
50,"(300, 300)",1,51
51,"(300, 300)",1,52
52,"(300, 300)",1,53
53,"(300, 300)",1,54
54,"(300, 300)",1,55
55,"(300, 300)",1,56
56,"(300, 300)",1,57
57,"(300, 300)",1,58
58,"(300, 300)",1,59
59,"(300, 300)",1,60
60,"(300, 300)",1,61
61,"(300, 300)",1,62
62,"(300, 300)",1,63
63,"(300, 300)",1,64
64,"(300, 300)",1,65
65,"(300, 300)",1,66
66,"(300, 300)",1,67
67,"(300, 300)",1,68
68,"(300, 300)",1,69
69,"(300, 300)",1,70
70,"(300, 300)",1,71
71,"(300, 300)",1,72
72,"(300, 300)",1,73
73,"(300, 300)",1,74
74,"(300, 300)",1,75
75,"(300, 300)",1,76
76,"(300, 300)",1,77
77,"(300, 300)",1,78
78,"(300, 300)",1,79
79,"(300, 300)",1,80
80,"(300, 300)",1,81
81,"(300, 300)",1,82
82,"(300, 300)",1,83
83,"(300, 300)",1,84
84,"(300, 300)",1,85
85,"(300, 300)",1,86
86,"(300, 300)",1,87
87,"(300, 300)",1,88
88,"(300, 300)",1,89
89,"(300, 300)",1,90
90,"(300, 300)",1,91
91,"(300, 300)",1,92
